,Type,Dimensions,Messaging,Model Image,_1,Keyboard,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,EDGE,Video,Brand,Status,Sensors,Resolution,Phonebook,WLAN,Single,Build,Price,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Dual_1,Talk time,OS,Loudspeaker,Single_1,Triple,Games,CPU,SAR,Dual,Radio,Type_1,Call records,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,Stand-by,Features,_2,GPRS,Protection,Positioning,Java,_3,Speed
,IPS LCD,165.3 x 77 x 9.2 mm (6.51 x 3.03 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3s.jpg,,,"5.0, A2DP, LE",No,Unisoc SC9863A (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 5, 7, 12, 17, 28",,"1440p@30fps, 1080p@30fps",Yezz,"Available. Released 2023, January",Fingerprint (rear-mounted),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 110 EUR,HDR,USB Type-C 2.0,IMG8322,"64GB 4GB RAM, 128GB 4GB RAM",microSDXC,"Sunrise White, Graphite, Aqua Green, Artic Blue",HSDPA 850 / 900 / 1900 / 2100,,,Android 12,Yes,,"16 MP, AF2 MP2 MP",,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,"Stereo FM radio, recording",Li-Po 5000 mAh,,GSM 850 / 900 / 1800 / 1900,"6.52 inches, 102.6 cm2(~80.6% screen-to-body ratio)",10W wired,190 g (6.70 oz),"2022, September",Yezz Art 3S,Yes,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,Asahi Glass,GPS,,,"HSPA, LTE"
eMMC 5.1,IPS LCD,159.7 x 77.3 x 9.9 mm (6.29 x 3.04 x 0.39 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-ultra.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2023, January",Fingerprint (rear-mounted),"720 x 1520 pixels, 19:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 100 EUR,,USB Type-C 2.0,Mali-T820 MP1,32GB 2GB RAM,microSDXC,"Artic Blue, Aqua Green, Turquoise Green",HSDPA 850 / 900 / 1900 / 2100,,,Android 12,Yes,,,,Quad-core 1.4 GHz,,"13 MP, AF0.3 MP","Stereo FM radio, recording","Li-Ion 3700 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"6.26 inches, 97.8 cm2(~79.2% screen-to-body ratio)",10W wired,182 g (6.42 oz),"2022, September",Yezz Max 3 Ultra,Yes,GSM / HSPA / LTE,,Dual-LED flash,,,INX Glass,GPS,,,"HSPA, LTE"
eMMC 5.1,IPS LCD,159.8 x 77.2 x 9.5 mm (6.29 x 3.04 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-plus.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2023, January",Fingerprint (rear-mounted),"480 x 1010 pixels, 19:9 ratio (~183 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 90 EUR,,microUSB 2.0,Mali-T820 MP1,32GB 2GB RAM,microSDXC,"Midnight Black, Glacier Blue, Cosmic Blue, Carbon Grey",HSDPA 850 / 900 / 1900 / 2100,,,Android 12,Yes,,"13 MP, AF0.3 MP0.3 MP",,Quad-core 1.4 GHz,,,"Stereo FM radio, recording","Li-Ion 3700 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"6.1 inches, 93.1 cm2(~75.4% screen-to-body ratio)",,-,"2022, October",Yezz Max 3 Plus,Yes,GSM / HSPA / LTE,,LED flash,,,INX Glass,GPS,,,"HSPA, LTE"
eMMC 5.1,IPS LCD,149.3 x 77.2 x 9.7 mm (5.88 x 3.04 x 0.38 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2023, January",Fingerprint (rear-mounted),"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 70 EUR,,microUSB 2.0,Mali-T820 MP1,32GB 2GB RAM,microSDXC,"Denim Blue, Aurora Green, Glacier Blue, Space Gray, Coral Red",HSDPA 850 / 900 / 1900 / 2100,,,Android 12,Yes,,"13 MP, AF0.3 MP0.3 MP",,Quad-core 1.3 GHz,,,"Stereo FM radio, recording","Li-Ion 2600 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.45 inches, 76.7 cm2(~66.5% screen-to-body ratio)",,-,"2022, September",Yezz Max 3,Yes,GSM / HSPA / LTE,,LED flash,,,,GPS,,,"HSPA, LTE"
eMMC 5.1,TN TFT,144.5 x 73.4 x 10.7 mm (5.69 x 2.89 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-3s-lte.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 17",,1080p@30fps,Yezz,"Available. Released 2023, January",,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Wi-Fi 802.11 b/g/n,2 MP,,About 60 EUR,,microUSB 2.0,Mali-T820 MP1,16GB 2GB RAM,microSDXC,"Graphite, Forrest Green, Cosmos Blue, Sunset Blue",HSDPA 850 / 900 / 1900 / 2100,,,Android 12 (Go edition),Yes,,,,Quad-core 1.3 GHz Cortex-A53,,8 MPsecondary unspecified camera,"Stereo FM radio, recording","Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",,-,"2022, October",Yezz Liv 3S LTE,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,Asahi Glass,GPS,,,"HSPA, LTE"
,IPS LCD,162 x 75.2 x 9 mm (6.38 x 2.96 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-pro.jpg,,,"5.0, A2DP, LE",No,Mediatek MT6769Z Helio G85 (12 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 5, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2023, January",Fingerprint (rear-mounted),"1080 x 2400 pixels, 20:9 ratio (~406 ppi density)",,"Wi-Fi 802.11 b/g/n/ac, dual-band",16 MP,,About 160 EUR,HDR,USB Type-C 2.0,Mali-G52 MC2,"128GB 6GB RAM, 256GB 6GB RAM",microSDHC,"Snow White, Space Black",HSDPA 850 / 900 / 1900 / 2100,,,Android 12,Yes,,"48 MP, AF8 MP0.3 MP",,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,"Stereo FM radio, recording",Li-Po 5000 mAh,,GSM 850 / 900 / 1800 / 1900,"6.49 inches, 101.7 cm2(~83.5% screen-to-body ratio)",10W wired,201 g (7.09 oz),"2022, September",Yezz Art 3 Pro,Yes,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,Asahi Glass,GPS,,,"HSPA, LTE"
No,"TFT, 256K colors",121 x 50 x 12.8 mm (4.76 x 1.97 x 0.50 in),SMS,https://fdn2.gsmarena.com/vv/bigpic/yezz-c32.jpg,,,"5.1, A2DP",Yes,Unisoc T107 (22 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 28",,QVGA,Yezz,"Available. Released 2022, August",,128 x 160 pixels (~116 ppi density),Yes,No,0.08 MP,,,,microUSB 2.0,,128MB 48MB RAM,microSDHC (dedicated slot),"Black, Green, Red, Blue",HSDPA 850 / 900 / 2100,,,,Yes,,,No,1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1000 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900,"1.77 inches, 9.9 cm2(~16.3% screen-to-body ratio)",,-,"2022, August",Yezz C32,,GSM / HSPA / LTE,,,,,,No,No,,"HSPA, LTE"
,IPS LCD,167.9 x 76.8 x 10.5 mm (6.61 x 3.02 x 0.41 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-lite.jpg,,,"4.2, A2DP, LE",Yes,Unisoc SC9832E (28 nm),No,Nano-SIM + Nano-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2022, September",Fingerprint (rear-mounted),"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Wi-Fi 802.11 b/g/n,8 MP,,About 120 EUR,HDR,USB Type-C 2.0,Mali-T820 MP1,64GB 2GB RAM,microSDXC,"Onyx Black, Majestic Blue, Emerald Green",HSDPA 850 / 900 / 1900 / 2100,,,Android 11 (Go edition),Yes,,,,Quad-core 1.4 GHz,,"13 MP, AF0.3 MP","Stereo FM radio, recording",Li-Po 5000 mAh,,GSM 850 / 900 / 1800 / 1900,"6.52 inches, 102.6 cm2(~79.6% screen-to-body ratio)","10W wired, PD",154 g (5.43 oz),"2022, June",Yezz Art 3 Lite,Yes,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,Panda Glass,GPS,,,"HSPA, LTE"
,TN LCD,189.5 x 107.5 x 10.6 mm (7.46 x 4.23 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic3.jpg,,,"4.2, A2DP",Yes,Allwinner A133,No,No,N/A,No,720p@30fps,Yezz,"Available. Released 2022, August",Accelerometer,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,Wi-Fi 802.11 b/g/n,"5 MP, f/2.0",,About 70 EUR,,USB Type-C,PowerVR GE8300,32GB 2GB RAM,microSDXC,Blue,N/A,,,Android 12 (Go Edition),Yes,"2 MP, f/2.0",,,Quad-core 1.5 GHz Cortex-A53,,,"FM radio, recording",Li-Po 2500 mAh,,N/A,"7.0 inches, 137.9 cm2(~67.7% screen-to-body ratio)",USB Power Delivery,250 g (8.82 oz),"2022, May",Yezz EPIC 3,,No cellular connectivity,,LED flash,,No,Asahi Glass,No,,,
eMMC 5.1,IPS LCD,155.2 x 72.9 x 9.7 mm (6.11 x 2.87 x 0.38 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-2-ultra.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6737M (28 nm),No,Nano-SIM + Micro-SIM,"2, 3, 4, 7, 12, 17, 28",,1080p@30fps,Yezz,"Available. Released 2022, July",Fingerprint (rear-mounted),600 x 1280 pixels (~232 ppi density),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",8 MP,,,HDR,microUSB 2.0,Mali-T720MP2,32GB 2GB RAM,microSDHC,"Ocean Green, Midnight Blue",HSDPA 850 / 1900 / 900,,,Android 11,Yes,,,,Quad-core 1.45 GHz Cortex-A53,,"13 MP, AF0.3 MP","Stereo FM radio, recording","Li-Ion 3000 mAh, removable",,GSM 850 / 900 / 1800 / 1900,"6.1 inches, 92.3 cm2(~81.5% screen-to-body ratio)",USB Power Delivery,175 g (6.17 oz),"2022, May",Yezz Max 2 Ultra,Yes,GSM / HSPA / LTE,,Dual-LED dual-tone flash,,,Asahi Glass,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
