Unnamed: 0,128GB 4GB RAM,1TB 12GB RAM,1TB 16GB RAM,1TB 24GB RAM,256GB 12GB RAM,256GB 4GB RAM,256GB 8GB RAM,2G bands,3.5mm jack,3G bands,4G bands,512GB 12GB RAM,512GB 16GB RAM,5G bands,Announced,Audio quality,Battery (new),Battery (old),Bluetooth,Brand,Browser,Build,CPU,Call records,Camera,Card slot,Charging,Chipset,Colors,Dimensions,Display,Dual,EDGE,Features,GPRS,GPU,Games,Infrared port,Internal,Java,Keyboard,Loudspeaker,Messaging,Model Image,Model Name,Models,Music play,NFC,OS,Performance,Phonebook,Positioning,Price,Protection,Quad,Radio,Resolution,SAR,SAR EU,SIM,Sensors,Single,Size,Speed,Stand-by,Status,Talk time,Technology,Triple,Type,USB,Video,WLAN,Weight,URL,Image,Network,Launch,Body,Platform,Memory,Main Camera,Selfie camera,Sound,Comms,Battery,Misc
"Cover display:OLED, 3 inches, 422 x 682 pixels",,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,,,SA/NSA,"2025, January 15",,,,"5.4, A2DP, LE",ZTE,,"Aluminum alloy frame, glass back",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,,No,"33W wired, PD3.0, PPS, QC4+",Mediatek Dimensity 7300X (4 nm),"Black, White, Blue",Unfolded: 170 x 76 x 7.5 mmFolded: 87 x 76 x 15.8 mm,,"50 MP, (wide), PDAF2 MP, (depth)",,"Ring LED flash, HDR, panorama",,Mali-G615 MC2,,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM",,,"Yes, with stereo speakers",,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-flip2-.jpg,ZTE nubia Flip2,A404ZT,,Yes,Android 14,,,"GPS, GLONASS, GALILEO, BDS",,,,No,"1188 x 2790 pixels, 21:9 ratio (~439 ppi density)",,,Nano-SIM +eSIMNano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","32 MP, (wide)","6.9 inches, 110.7 cm2(~85.7% screen-to-body ratio)","HSPA, LTE, 5G",,"Coming soon. Exp. release 2025, Q1",,GSM / HSPA / LTE / 5G,,4300 mAh,USB Type-C,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",191 g (6.74 oz),,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"2025, January 07",,,,"5.2, A2DP, LE",ZTE,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,microSDXC (uses shared SIM slot),10W wired,Unisoc T7200 (12 nm),"Yellow/Blue/Red, White",163.6 x 74.9 x 8.6 mm (6.44 x 2.95 x 0.34 in),,,,"LED flash, HDR",,Mali-G57 MP1,,,128GB 4GB RAM,,,"Yes, with stereo speakers (3 speakers)",,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-music2-.jpg,ZTE nubia Music 2,,,Yes (market/region dependent),Android 14,,,GPS,About 80 EUR,,,Unspecified,"720 x 1612 pixels, 20:9 ratio (~264 ppi density)",,,Nano-SIM + Nano-SIM,Fingerprint (side-mounted); unspecified sensors,"5 MP, f/2.4, (wide)","6.7 inches, 107.8 cm2(~88.0% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2025, January 07",,GSM / HSPA / LTE,,5000 mAh,"USB Type-C 2.0, OTG",720p@30fps,"Wi-Fi 802.11 b/g/n/ac, dual-band",-,,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"2024, November 22",,,,"5.2, A2DP, LE",ZTE,,"Glass front, plastic frame, glass back or silicone polymer (eco leather) back",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,microSDXC (uses shared SIM slot),22.5W wired,Unisoc T606 (12 nm),"Stone gray, Rose pink, Citrus orange, Jade green",165.8 x 77.1 x 8.2 mm (6.53 x 3.04 x 0.32 in),,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,"LED flash, HDR, panorama",,Mali-G57 MP1,,,256GB 4GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-nubia-v70-design-1.jpg,ZTE Blade V70 Design,,,Yes (market/region dependent),Android 14,,,"GPS, GALILEO, GLONASS",About 90 EUR,,,FM radio,"720 x 1612 pixels, 20:9 ratio (~264 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, proximity, compass",16 MP,"6.7 inches, 107.8 cm2(~84.4% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2024, November 28",,GSM / HSPA / LTE,,5000 mAh,USB Type-C 2.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",206 g (7.27 oz),,,,,,,,,,,,,
24-bit/192kHz Hi-Res audioSnapdragon Sound,,,,,,,,GSM 850 / 900 / 1800 / 1900,No,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 39, 40, 41, 38, 42, 66",,,"1, 2, 3, 5, 7, 8, 20, 25, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA","2024, November 21",,Active use score 12:59h,,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",ZTE,,"Glass front, aluminum frame, glass back",Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),,,No,"80W wired, PD3.0, QC4",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Black, Gold, Starry Night, Orange",164.3 x 77.1 x 8.6 mm (6.47 x 3.04 x 0.34 in),1382 nits max brightness (measured),,,HDR,,Adreno 830,,Yes,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM",,,-25.9 LUFS (Very good),,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-z70-ultra.jpg,ZTE nubia Z70 Ultra,"NX733J, NX736J",,Yes,"Android 15, Nebula AIOS",AnTuTu: 2701464 (v10)GeekBench: 9509 (v6)3DMark: 5918 (Wild Life Extreme),,"GPS (L1+L2+L5), GLONASS (G1+G5), BDS (B1I+B1C+B2a+B2b), GALILEO (E1+E5a), QZSS (L1+L5)",About 600 EUR,Longxi glass (gen 2),,No,1216 x 2688 pixels (~431 ppi density),,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","16 MP, f/2.5, 24mm (wide), 1/2.8"", 1.12µm, under display","6.85 inches, 113.7 cm2(~89.7% screen-to-body ratio)","HSPA, LTE (CA), 5G",,"Available. Released 2024, November 25",,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,"50 MP, f/1.6-4.0, 35mm (standard), 1/1.56"", 1.0µm, multi-directional PDAF, OIS64 MP, f/2.5, 70mm (periscope telephoto), 1/2.0"", 0.7µm, multi-directional PDAF (15cm - ∞), OIS, 2.7x optical zoom (vs. 26mm cam)50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", 0.61µm, multi-directional PDAF",Si/C 6150 mAh,"USB Type-C 3.2, OTG",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct",228 g (8.04 oz),,,,,,,,,,,,,
,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,LTE,,,,"2024, November 18",,,,"5.2, A2DP, LE",ZTE,,,Octa-core 2.0 GHz,,,microSDXC,22.5W wired,,"Glacier Green, Stardust Gray, Sunshine Gold",8.2 mm thickness,,,,"LED flash, HDR, panorama",,,,,256GB 8GB RAM,,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-v70.jpg,ZTE Blade V70,,,Yes (market/region dependent),Android 14,,,"GPS, GALILEO, GLONASS",,,,Unspecified,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, proximity",16 MP,"6.7 inches, 108.4 cm2","HSPA, LTE",,"Available. Released 2025, January",,GSM / HSPA / LTE,"108 MP, f/1.8, (wide), 1/1.67"", PDAFother unspecified cameras",5000 mAh,USB Type-C 2.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",-,,,,,,,,,,,,,
32-bit/384kHz Hi-Res audioSnapdragon Sound,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,,,SA/NSA,"2024, November 13",,,,"5.4, A2DP, LE",ZTE,,"Glass front, aluminum frame, glass back",Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),,,No,"120W wired, 50% in 11 min, 100% in 30 min",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Dark Knight, White Knight, Transparent Silver Deuterium, Transparent Dark Knight",163.4 x 76.1 x 8.9 mm (6.43 x 3.00 x 0.35 in),,,,HDR,,Adreno 830,,Yes,"512GB 16GB RAM, 1TB 24GB RAM",,,"Yes, with stereo speakers",,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-10-pro-plus.jpg,ZTE nubia Red Magic 10 Pro+,,,Yes (market/region dependent),"Android 15, Redmagic OS 10",,,"GPS (L1+L5), GLONASS, BDS, GALILEO",About 780 EUR,Unspecified,,No,1216 x 2688 pixels (~431 ppi density),,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm, under display","6.85 inches, 113.7 cm2(~91.4% screen-to-body ratio)","HSPA, LTE, 5G",,"Available. Released 2024, November 18",,GSM / CDMA / HSPA / EVDO / LTE / 5G,"50 MP, f/1.9, (wide), 1/1.5"", 1.0µm, PDAF, OIS50 MP, f/2.2, (ultrawide), 1/2.88"", 0.61µm2 MP, f/2.4, (macro)",Si/C 7050 mAh,"USB Type-C 3.2 Gen 2, OTG, accessory connector, DisplayPort",1080p@30/60fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",229 g (8.08 oz),,,,,,,,,,,,,
32-bit/384kHz Hi-Res audioSnapdragon Sound,,,,"$ 1,169.00",$ 749.00,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 66",,$ 899.00,"1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 71, 77, 78 SA/NSA","2024, November 13",,Active use score 17:13h,,"5.4, A2DP, LE",ZTE,,"Glass front, aluminum frame, glass back",Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),,,No,100W wired80W wired - China only version,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Moonlight (Transparent Silver Deuterium), Dusk (Transparent Dark Knight), Shadow (Dark Knight), White Knight, Lightspeed",163.4 x 76.1 x 8.9 mm (6.43 x 3.00 x 0.35 in),1596 nits max brightness (measured),,,HDR,,Adreno 830,,Yes,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 24GB RAM",,,-24.5 LUFS (Very good),,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-10-pro.jpg,ZTE nubia Red Magic 10 Pro,,,Yes (market/region dependent),"Android 15, up to 1 major Android update and 2 Redmagic OS updates, Redmagic OS 10",AnTuTu: 2687260 (v10)GeekBench: 9833 (v6)3DMark: 5820 (Wild Life Extreme),,"GPS (L1+L5), GLONASS, BDS, GALILEO",$ 749.00 / € 779.00 / £ 689.00,Corning Gorilla Glass,,No,1216 x 2688 pixels (~431 ppi density),,,Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","16 MP, f/2.0, (wide), 1.12µm, under display","6.85 inches, 113.7 cm2(~91.4% screen-to-body ratio)","HSPA, LTE, 5G",,"Available. Released 2024, November 18",,GSM / CDMA / HSPA / EVDO / LTE / 5G,"50 MP, f/1.9, (wide), 1/1.5"", 1.0µm, PDAF, OIS50 MP, f/2.2, (ultrawide), 1/2.88"", 0.61µm2 MP, f/2.4, (macro)",Si/C 7050 mAhSi/C 6500 mAh - China only version,"USB Type-C 3.2 Gen 2, OTG, accessory connector, DisplayPort",1080p@30/60fps,"Wi-Fi 802.11 a/b/g/n/ac/6, tri-band, Wi-Fi Direct",229 g (8.08 oz),,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"2024, January",,,,"5.2, A2DP, LE",ZTE,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,microSDXC (dedicated slot),10W wired,Unisoc SC9863A1 (28 nm),"Mint Green, Starry Black, Sunset Orange",167.7 x 77.4 x 8.5 mm (6.60 x 3.05 x 0.33 in),,,,LED flash,,IMG8322,,,"64GB 4GB RAM, 128GB 4GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a55.jpg,ZTE Blade A55,Z2450,,No,Android 14 (Go edition),,,"GPS, GALILEO, GLONASS",,,,FM radio,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer",8 MP,"6.75 inches, 110.0 cm2(~84.7% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2024, July",,GSM / HSPA / LTE,,Li-Po 5000 mAh,"USB Type-C 2.0, OTG",Yes,Wi-Fi 802.11 b/g/n,-,,,,,,,,,,,,,
eMMC 5.1,,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"2024, October 09",,,,"5.2, A2DP, LE",ZTE,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,microSDXC (dedicated slot),10W wired,Unisoc SC9863A1 (28 nm),"Starry Black, Clover Green",167.7 x 77.4 x 8.5 mm (6.60 x 3.05 x 0.33 in),,,,LED flash,,IMG8322,,,"64GB 2GB RAM, 64GB 4GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a35.jpg,ZTE Blade A35,Z2453,,No,Android 14 (Go edition),,,"GPS, GALILEO, GLONASS",About 80 EUR,,,FM radio,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",,,Nano-SIM + Nano-SIM,Accelerometer,2 MP (interpolated to 5 MP),"6.75 inches, 108.3 cm2(~83.5% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2024, October",,GSM / HSPA / LTE,,Li-Po 5000 mAh,USB Type-C 2.0,Yes,Wi-Fi 802.11 b/g/n,-,,,,,,,,,,,,,
eMMC 5.1,€ 108.86,,,,,,,GSM 850 / 900 / 1800 / 1900,Yes,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"2024, July 10",,,,"5.2, A2DP, LE",ZTE,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,microSDXC (dedicated slot),22.5W wired,Unisoc T606 (12 nm),"Basalt Black, Aqua Green, Marble White",164.1 x 75.8 x 8.6 mm (6.46 x 2.98 x 0.34 in),,,,"LED flash, HDR, panorama",,Mali-G57 MP1,,,"128GB 4GB RAM, 256GB 4GB RAM",,,Yes,,https://fdn2.gsmarena.com/vv/bigpic/zte-blade-a75-4g.jpg,ZTE Blade A75 4G,Z2359,,Yes (market/region dependent),Android 13,,,"GPS, GALILEO, GLONASS",€ 108.86,,,FM radio,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer",8 MP,"6.6 inches, 104.6 cm2(~84.1% screen-to-body ratio)","HSPA, LTE",,"Available. Released 2024, July",,GSM / HSPA / LTE,,5000 mAh,"USB Type-C 2.0, OTG",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",189 g (6.67 oz),,,,,,,,,,,,,
