,Price,USB,SAR EU,EDGE,SIM,Technology,Weight,GPRS,Radio,Chipset,Battery (old),Type_1,Speed,Charging,Display,Alert types,_3,Sensors,Build,Quad,Java,Single_1,CPU,GPU,Video_1,Call records,Languages,Announced,Stand-by_1,NFC,Loudspeaker,Features_1,Music play,Bluetooth,Colors,Dual,Talk time,Resolution,2G bands,Camera,4G bands,_2,Video,Messaging,Infrared port,_4,Brand,Talk time_1,Status,Type,Browser,_5,3.5mm jack,Loudspeaker_1,Phonebook,_1,Alarm,WLAN,Stand-by,Clock,Card slot,Model Name,Triple,Size,Games,Dimensions,Positioning,Model Image,SAR,Audio quality,Single,Models,OS,Protection,Internal,Keyboard,Features,3G bands
"2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 66 - 5031A, 5041J",About 100 EUR,microUSB 2.0,,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,172 g (6.07 oz),,FM radio,Mediatek MT6761 Helio A22 (12 nm),,"Li-Ion 3000 mAh battery, removable","HSPA 42.2/11.1 Mbps, LTE Cat4 150/50 Mbps",,,,,Accelerometer,,,,"5 MP, f/2.2, 24 mm (wide), 1/5.0"", 1.12µm",Quad-core 2.0 GHz Cortex-A53,PowerVR GE8300,1080p@30fps,,,"2022, May 31",,No,Yes,,,"5.0, A2DP","Prime Black, Atlantic Blue",,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5031D, 5031G",,1080p@30fps,,,,alcatel,,"Available. Released 2022, May 31",TFT LCD,,,Yes,,,eMMC 5.1,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (dedicated slot),alcatel 1B (2022),,"5.5 inches, 78.1 cm2(~74.0% screen-to-body ratio)",,146.7 x 71.9 x 10 mm (5.78 x 2.83 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2022.jpg,,,"8 MP, f/2.0, 25 mm (wide), 1/4.0"", 1.12µm, AF","5031D, 5031G, 5031A, 5031J",Android 11 (Go edition),,32GB 2GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 110 EUR,"microUSB 2.0, OTG",,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,190 g (6.70 oz),,FM radio,Unisoc SC9863A (28 nm),,Li-Ion 3000 mAh,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Glass front, plastic back, plastic frame",,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,1080p@30fps,,,"2021, June 25",,No,Yes,HDR,,"4.2, A2DP","Power Grey, Twilight Blue","13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, AF2 MP, f/2.4, (depth)",,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",GSM 850 / 900 / 1800 / 1900,,"2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - USA",,1080p@30fps,,,,alcatel,,"Available. Released 2021, Q2",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 1L Pro (2021),,"6.1 inches, 91.3 cm2(~78.1% screen-to-body ratio)",,156.4 x 74.8 x 9.7 mm (6.16 x 2.94 x 0.38 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-pro-2021.jpg,,,"5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm",,Android 11 (Go edition),,32GB 2GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100
eMMC 5.1,About 60 EUR,microUSB 2.0,,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,134 g (4.73 oz),,FM radio,Mediatek MT6739 (28 nm),,Li-Ion 2000 mAh,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity",,,,"2 MP, f/2.8",Quad-core 1.28 GHz Cortex-A53,PowerVR GE8100,720p@30fps,,,"2021, June 25",,No,Yes,,,"4.2, A2DP, LE","Volcano Black, AI Aqua",,,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20",,720p@30fps,,,,alcatel,,"Available. Released 2021, October 22",TFT LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDHC (dedicated slot),alcatel 1 (2021),,"5.0 inches, 64.5 cm2(~71.4% screen-to-body ratio)",,137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-2021.jpg,,,"5 MP, f/2.4, 1/5.0"", 1.12µm",,Android 11 (Go edition),Asahi Glass,"8GB 1GB RAM, 16GB 1GB RAM",,LED flash,HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 330 EUR,"microUSB 2.0, OTG",,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,194 g (6.84 oz),,FM radio,Mediatek MT6762D Helio P22 (12 nm),,Li-Po 4000 mAh,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",10W wired,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Glass front, plastic back, plastic frame",,,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,1080p@30fps,,,"2021, January 12",,Yes,Yes,HDR,,"5.0, A2DP, LE","Jewelry Blue, Jewelry Black",,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20, 28",,1080p@30fps,,,,alcatel,,"Available. Released 2021, April 26",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (only single sim model),alcatel 3L (2021),"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","6.52 inches, 102.6 cm2(~82.0% screen-to-body ratio)",,165.6 x 75.6 x 8.7 mm (6.52 x 2.98 x 0.34 in),"GPS, GLONASS, GALILEO, BDS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2021.jpg,,,"8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",6056D,Android 11,,64GB 4GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 130 EUR,"microUSB 2.0, OTG",,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,190 g (6.70 oz),,FM radio,Mediatek MT6762D Helio P22 (12 nm),,Li-Po 4000 mAh,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",10W wired,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Glass front, plastic back, plastic frame",,,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,1080p@30fps,,,"2021, January 12",,No,Yes,HDR,,"5.0, A2DP, LE","Elegant Black, Twilight Blue",,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,1080p@30fps,,,,alcatel,,"Available. Released 2021, March 25",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 1S (2021),"13 MP, f/2.0, 27mm (wide), 1/3.06"", 1.12µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","6.52 inches, 102.6 cm2(~82.0% screen-to-body ratio)",,165.6 x 75.6 x 8.8 mm (6.52 x 2.98 x 0.35 in),"GPS, GLONASS, GALILEO, BDS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s-2021.jpg,,,"5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","6025H, 6025H_EEA, 6025D, 6025D_EEA",Android 11,,32GB 3GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 110 EUR,"microUSB 2.0, OTG",,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,179 g (6.31 oz),,FM radio,Mediatek MT6761D Helio A20 (12 nm),,Li-Ion 3000 mAh,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Glass front, plastic back, plastic frame",,,,Quad-core 1.8 GHz Cortex-A53,PowerVR GE8320,1080p@30fps,,,"2021, January 12",,No,Yes,HDR,,"5.0, A2DP, LE","Power Grey, Twilight Blue","13 MP, f/1.9, 27mm (wide), 1/3.06"", 1.12µm, AF2 MP, f/2.4, (macro)",,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",GSM 850 / 900 / 1800 / 1900,,"2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - USA",,1080p@30fps,,,,alcatel,,"Available. Released 2021, April 26",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 1L (2021),,"6.1 inches, 91.3 cm2(~78.6% screen-to-body ratio)",,155.9 x 74.5 x 9.9 mm (6.14 x 2.93 x 0.39 in),"GPS, GLONASS, GALILEO, BDS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-2021.jpg,,,"5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm","4063F, 4063T",Android 11 (Go edition),,32GB 2GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100
HSDPA 850 / 900 / 1900 / 2100 - 6002D,About 100 EUR,USB Type-C 2.0,,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,190 g (6.70 oz),,FM radio (market/operator dependent),Mediatek MT6761 Helio A22 (12 nm),,Li-Ion 5000 mAh,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",10W wired,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Glass front, plastic back, plastic frame",,,,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,1080p@30fps,,,"2021, February",,No,Yes,HDR,,"5.0, A2DP, LE","Space Gray, Atlantic Blue","13 MP, f/2.2, (wide), 1/3.0"", 1.12µm, AF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,,"2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 66 - 6002A",eMMC 5.1,1080p@30fps,,,,alcatel,,"Available. Released 2021, April",IPS LCD,,,Yes,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 6002D",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (dedicated slot),alcatel 1V (2021),,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)",,165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),"GPS, GLONASS, GALILEO, BDS",https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2021.jpg,,,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm","6002A, 6002D",Android 11 (Go edition),,"32GB 2GB RAM, 64GB 2GB RAM",,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 6002A
eMMC 5.1,About 150 EUR,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,175 g (6.17 oz),,FM radio,Unisoc SC9863A (28 nm),,Li-Po 4000 mAh,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Glass front, plastic frame, plastic back",,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,1080p@30fps,,,"2020, October 28",,No,Yes,HDR,,"4.2, A2DP","Agate Greeen, Power Gray",,,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20, 28",,1080p@30fps,,,,alcatel,,"Available. Released 2020, October 28",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 1SE (2020),"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm, AF5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (depth)","6.22 inches, 96.6 cm2(~80.7% screen-to-body ratio)",,159.2 x 75.2 x 8.7 mm (6.27 x 2.96 x 0.34 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-se-2020.jpg,,,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm","5030F, 5030U, 5030D_EEA, 5030F_EEA, 5030D, 5030E, 5030A, 5030E_TCL, 5030I, 5030M",Android 10,,"32GB 3GB RAM, 64GB 2GB RAM, 128GB 4GB RAM",,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
"Second external TN TFT display, 1.44 inches, 128 x 128 pixels",About 120 EUR,USB Type-C 2.0,,,Nano-SIM,GSM / HSPA / LTE,133 g (4.69 oz),,FM radio,QM215 Snapdragon 215 (28 nm),,Li-Ion 1850 mAh,"HSPA, LTE",,,,,,,,,,Quad-core 1.3 GHz Cortex-A53,Adreno 308,,,,"2021, September",,No,Yes,,,"4.2, A2DP",Midnight Blue,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 850 / 1900,,"2, 4, 5, 12, 25, 26, 41, 66, 71",,480p@30fps,,,,alcatel,,"Available. Released 2021, September",TN TFT LCD,,,Yes,,,No,,"Wi-Fi 802.11 b/g/n, hotspot",,,microSDHC (dedicated slot),alcatel Go Flip 4,,"2.8 inches, 24.3 cm2(~40.7% screen-to-body ratio)",,107.3 x 55.6 x 19.9 mm (4.22 x 2.19 x 0.78 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip-4.jpg,0.78 W/kg (head)     1.27 W/kg (body),,2 MP,4056W,KaiOS 3.0,,4GB 512MB RAM,,,HSDPA 850 / 1700(AWS) / 1900
CDMA 800 / 1900,About 80 EUR,microUSB 2.0,,,Nano-SIM,GSM / CDMA / HSPA / LTE,118 g (4.16 oz),,FM radio,Qualcomm MSM8909 Snapdragon 210 (28 nm),,"Li-Ion 1350 mAh, removable","HSPA, LTE",,,,,,,,,,Quad-core 1.1 GHz Cortex-A7,Adreno 304,,,,"2019, September 19",,No,Yes,,,"4.2, A2DP",Prime Black,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 850 / 900 / 1800 / 1900,,"2, 4, 5, 12, 25, 26, 41, 66, 71",,720p@30fps,,,,alcatel,,"Available. Released 2019, September 19",TN TFT LCD,,,Yes,,,"Second external TN TFT display, 1.44 inches, 128 x 128 pixels",,"Wi-Fi 802.11 b/g/n, hotspot",,,microSDHC (dedicated slot),alcatel Go Flip 3,,"2.8 inches, 24.3 cm2(~43.6% screen-to-body ratio)",,104.9 x 53.1 x 20.1 mm (4.13 x 2.09 x 0.79 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip3.jpg,1.28 W/kg (head)     1.16 W/kg (body),,2 MP,,KaiOS 2.5.2,,4GB 512MB RAM,,,HSDPA 850 / 1700(AWS) / 1900
