,Price,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Infrared port,EDGE,Bluetooth,GPU,Keyboard,Chipset,Model Image,OS,3G bands,2G bands,Languages,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Video_1,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,CPU,Colors,Announced,Type,Alert types,_1,Sensors,Single_1,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio
,About 550 EUR,,Up to 3 h 30 min,GPS,"320 x 240 pixels, 4:3 ratio (~163 ppi density)",Removable Li-Po 1200 mAh battery,Wi-Fi 802.11 b/g,,,"2.0, A2DP",,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg,Microsoft Windows Mobile 6.1 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,No,2GB 128MB RAM,Discontinued,,GSM / HSPA,Up to 200 h,Yes,,2 MP,No,i_mate,HSPA 7.2/0.384 Mbps,111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in),,,150 g (5.29 oz),624 MHz Marvell PXA310,Blue,"2009, February. Released 2009","TFT resistive touchscreen, 65K colors",,Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager,"Accelerometer, compass",Yes,"2.46 inches, 18.7 cm2(~25.6% screen-to-body ratio)",i-mate 810-F,Yes,Proprietary,"WAP 2.0/xHTML, HTML (Internet Explorer Mobile 6)",Mini-SIM,No
2.5 mm audio jack,About 410 EUR,LED flash,Up to 4 h 20 min,GPS,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",Removable Li-Po 1620 mAh battery,Wi-Fi 802.11 b/g,,,"2.0, A2DP",Adreno 130,QWERTY,Qualcomm MSM7200,https://fdn2.gsmarena.com/vv/bigpic/ultimate-9502.gif,Microsoft Windows Mobile 6.0 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"128MB RAM, 256MB ROM",Discontinued,,GSM / HSPA,Up to 180 h,Yes,,"3.15 MP, AF",No,i_mate,HSPA,116 x 60 x 17.8 mm (4.57 x 2.36 x 0.70 in),,,200 g (7.05 oz),400 MHz ARM 11,Black,"2007, October. Released 2008, March","TFT resistive touchscreen, 256K colors (65K effective)","Vibration; Downloadable polyphonic, MP3 ringtones","Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile managerTV-outi-mate GPRS Configurator(WAP, MMS)",,VGA videocall camera,"2.8 inches, 24.3 cm2(~34.9% screen-to-body ratio)",i-mate Ultimate 9502,Yes,Proprietary,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
No,About 200 EUR,LED flash,Up to 4 h 30 min,GPS,"320 x 240 pixels, 4:3 ratio (~154 ppi density)",Removable Li-Ion 1530 mAh battery,Wi-Fi 802.11 b/g,,,"2.0, A2DP",Adreno 130,QWERTY,Qualcomm MSM7200,https://fdn2.gsmarena.com/vv/bigpic/ultimate-8502.gif,Microsoft Windows Mobile 6.0 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"128MB RAM, 256MB ROM",Discontinued,,GSM / HSPA,Up to 180 h,Yes,,2 MP,No,i_mate,HSPA,116 x 55 x 15 mm (4.57 x 2.17 x 0.59 in),"Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile managerTV-outi-mate GPRS Configurator(WAP, MMS)360° Jog wheel",,140 g (4.94 oz),400 MHz ARM 11,Black,"2007, October. Released 2008, September","TFT resistive touchscreen, 256K colors (65K effective)","Vibration; Downloadable polyphonic, MP3 ringtones",2.5 mm audio jack,,,"2.6 inches, 20.9 cm2(~32.8% screen-to-body ratio)",i-mate Ultimate 8502,Yes,Proprietary,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
No,About 250 EUR,LED flash,Up to 4 h,No,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1050 mAh battery,No,,No,1.1,,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/imate-jama201.gif,Microsoft Windows Mobile 6.0 Professional,,GSM 900 / 1800 / 1900,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Discontinued,,GSM,Up to 150 h,Yes,,"2 MP, AF",No,i_mate,,113 x 63 x 14 mm (4.45 x 2.48 x 0.55 in),,Class 10,152 g (5.36 oz),SAMSUNG SC3 2442X 300MHz,Black,"2007, October. Released 2008, October","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager,,,"2.4 inches, 17.8 cm2(~25.1% screen-to-body ratio)",i-mate JAMA 201,Yes,miniUSB 1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition4-way navigation pad,About 250 EUR,,Up to 4 h,No,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1020 mAh battery,No,,No,1.2,,,,https://fdn2.gsmarena.com/vv/bigpic/imate-jama101.gif,Microsoft Windows Mobile 6.0 Professional,,GSM 900 / 1800 / 1900,,microSD,"64MB RAM, 128MB ROM",Cancelled,,GSM,Up to 150 h,Yes,,2 MP,No,i_mate,,105 x 52.5 x 15.5 mm (4.13 x 2.07 x 0.61 in),Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager,Class 10,110 g (3.63 oz),SAMSUNG SC3 2442X 300MHz,Black,"2007, October","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.4 inches, 17.8 cm2(~32.4% screen-to-body ratio)",i-mate JAMA 101,Yes,miniUSB 1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
Handwriting recognition4-way navigation pad,About 200 EUR,,Up to 4 h,No,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Removable Li-Ion 1000 mAh battery,No,,No,1.2,,,,https://fdn2.gsmarena.com/vv/bigpic/imate-jama.gif,Microsoft Windows Mobile 5.0 PocketPC,,GSM 900 / 1800,,microSD (dedicated slot),"64MB RAM, 128MB ROM",Discontinued,,GSM,Up to 150 h,Yes,,2 MP,No,i_mate,,106 x 52.5 x 15.6 mm (4.17 x 2.07 x 0.61 in),Pocket OfficeVoice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerFile manager,Class 10,110 g (3.88 oz),Samsung SC3 2442X 300MHz,Silver,"2007, June","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",No,,,"2.4 inches, 17.8 cm2(~32.1% screen-to-body ratio)",i-mate JAMA,Yes,miniUSB 1.1,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,No
"Second OLED, 1.2 inches displayHandwriting recognition",About 410 EUR,,,No,"640 x 480 pixels, 4:3 ratio (~308 ppi density)",Removable Li-Ion 1400 mAh battery,Wi-Fi 802.11 b/g/e/i,Yes,,"2.0, A2DP",,,,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim9150.gif,Microsoft Windows Mobile 6.0 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD,"128MB RAM, 256MB ROM",Cancelled,,GSM / HSPA,,Yes,,2 MP,No,i_mate,HSPA,98 x 50 x 19 mm (3.86 x 1.97 x 0.75 in),,,,Intel Bulverde 520 MHz,Silver,"2007, February","TFT resistive touchscreen, 256K colors (65K effective)","Vibration; Downloadable polyphonic, MP3 ringtones",Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out,,Yes,"2.6 inches, 20.9 cm2(~42.7% screen-to-body ratio)",i-mate Ultimate 9150,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,Stereo FM radio
Handwriting recognition,About 260 EUR,,,No,"480 x 640 pixels, 4:3 ratio (~308 ppi density)",Removable Li-Ion 1530 mAh battery,Wi-Fi 802.11 b/g/e/i,Yes,,"2.0, A2DP",,,,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim8150.jpg,Microsoft Windows Mobile 6.0 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"128MB RAM, 256MB ROM",Discontinued,,GSM / HSPA,,Yes,,"2 MP, AF",No,i_mate,HSPA,118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),,,152 g (5.36 oz),Intel XScale PXA270 520 MHz,Silver,"2007, February","TFT resistive touchscreen, 65K colors","Vibration; Downloadable polyphonic, MP3 ringtones",Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out,,VGA videocall camera,"2.6 inches, 20.9 cm2(~29.2% screen-to-body ratio)",i-mate Ultimate 8150,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,Stereo FM radio
"Second OLED, 2.2 inches display (128 x 128 pixels)Handwriting recognition",About 300 EUR,,,No,"640 x 480 pixels, 4:3 ratio (~211 ppi density)",Removable Li-Ion 1400 mAh battery,Wi-Fi 802.11 b/g/e/i,Yes,,"2.0, A2DP",,QWERTY,,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim7150.gif,Microsoft Windows Mobile 6.0 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD,"128MB RAM, 256MB ROM",Cancelled,,GSM / HSPA,,Yes,,2 MP,No,i_mate,HSPA,110 x 74 x 18 mm (4.33 x 2.91 x 0.71 in),,,180 g (6.35 oz),Intel Bulverde 520 MHz,Silver,"2007, February","TFT resistive touchscreen, 256K colors (65K effective)","Vibration; Downloadable polyphonic, MP3 ringtones",Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out,,VGA videocall camera,"3.8 inches, 44.7 cm2(~54.9% screen-to-body ratio)",i-mate Ultimate 7150,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,Stereo FM radio
Handwriting recognition,About 260 EUR,,,No,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",Removable Li-Ion 1530 mAh battery,Wi-Fi 802.11 b/g/e/i,Yes,,"2.0, A2DP",,,,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim6150.jpg,Microsoft Windows Mobile 6.0 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD (dedicated slot),"128MB RAM, 256MB ROM",Discontinued,,GSM / HSPA,,Yes,,2 MP,No,i_mate,HSPA,118.5 x 60.5 x 15.5 mm (4.67 x 2.38 x 0.61 in),,,152 g (5.36 oz),Intel Bulverde 520 MHz,Silver,"2007, February. Released 2008, January","TFT resistive touchscreen, 256K colors (65K effective)","Vibration; Downloadable polyphonic, MP3 ringtones",Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out,,VGA videocall camera,"2.8 inches, 24.3 cm2(~33.9% screen-to-body ratio)",i-mate Ultimate 6150,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,Stereo FM radio
Handwriting recognition,About 300 EUR,,,No,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",Removable Li-Ion 1400 mAh battery,Wi-Fi 802.11 b/g/e/i,Yes,,"2.0, A2DP",,,,https://fdn2.gsmarena.com/vv/bigpic/imate-ultim5150.gif,Microsoft Windows Mobile 6.0 Professional,HSDPA 850 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,microSD,"128MB RAM, 256MB ROM",Cancelled,,GSM / HSPA,,Yes,,2 MP,No,i_mate,HSPA,117 x 60.5 x 19.5 mm (4.61 x 2.38 x 0.77 in),,,,Intel Bulverde 520 MHz,Silver,"2007, February","TFT resistive touchscreen, 256K colors (65K effective)","Vibration; Downloadable polyphonic, MP3 ringtones",Voice memoMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerPocket OfficeFile managerTV-out,,Yes,"2.8 inches, 24.3 cm2(~34.3% screen-to-body ratio)",i-mate Ultimate 5150,Yes,miniUSB,"WAP 2.0/xHTML, HTML (PocketIE)",Mini-SIM,Stereo FM radio
