,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,128GB 6GB RAM,128GB 8GB RAM,Dual,NFC,Infrared port,OS,4G bands,USB,Protection,Video,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,256GB 8GB RAM,Build,GPRS,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Models,Single_1,Loudspeaker,_1,Charging,Features_1,EDGE,GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand
,Octa-core,8 MPauxiliary lens,"64GB 3GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-zeno10.jpg,Dual SIM,Yes,About 70 EUR,164 x 76 x 9 mm (6.46 x 2.99 x 0.35 in),,,,No,,Android 14 (Go edition),LTE,USB Type-C 2.0,,Yes,,"6.6 inches, 104.6 cm2(~84.0% screen-to-body ratio)","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2025, January 02",IPS LCD,Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T603,LED flash,Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Opal purple, Phantom crystal",186 g (6.56 oz),"Available. Released 2025, January 10",,5 MP,Yes,,10W wired,,,,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel Zeno 10,itel
"IP64, dust and water resistantRGB ring notifications light (on the back)",Octa-core (2x2.2 GHz Cortex-A75 & 6xX.X GHz Cortex-A55),"32 MP, f/2.2, 22mm (wide)","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-s25-ultra.jpg,Nano-SIM + Nano-SIM,Yes,About 130 EUR,6.9 mm thickness,,,"50 MP, f/1.6, (wide), AFXX MP, (macro)Auxiliary lens",Yes (market/region dependent),Yes,"Android 14, up to 2 major Android upgrades, itel OS 14.5",LTE,USB Type-C 2.0,Corning Gorilla Glass 7i,"1440p@30fps, 1080p@30fps",,"6.78 inches, 109.9 cm2","HSPA, LTE",Unspecified,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, November 09","AMOLED, 1B colors, 120Hz, 1000 nits (HBM), 1400 nits (peak)","1440p@30fps, 1080p@30fps",5000 mAh,,,,Yes,Unspecified,Unisoc T620 (12 nm),"LED flash, HDR, panorama","Fingerprint (under display, optical), unspecified sensors",GSM / HSPA / LTE,"Bromo Black, Meteor Titanium, Komodo Ocean",163 g (5.75 oz),"Available. Released 2024, November",,,Yes,Always-on display,"18W wired, bypass charging",,,,UFS 2.2,,No,1080 x 2436 pixels (~393 ppi density),itel S25 Ultra,itel
"IP54, dust and water resistant",Octa-core (2x2.2 GHz Cortex-A75 & 6xX.X GHz Cortex-A55),"50 MP, f/1.6, (wide), 0.64µm, AFAuxiliary lens","128GB 6GB RAM, 128GB 8GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-s25.jpg,Nano-SIM + Nano-SIM,Yes,About 100 EUR,7.3 mm thickness,,,,Yes (market/region dependent),Yes,"Android 14, up to 2 major Android upgrades, itel OS 14.5",LTE,USB Type-C 2.0,,"1440p@30fps, 1080p@30fps",,"6.78 inches, 109.9 cm2","HSPA, LTE",Unspecified,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, November 09","AMOLED, 1B colors, 120Hz, 1200 nits (HBM), 1800 nits (peak)","1440p@30fps, 1080p@30fps",5000 mAh,,,,Yes,Unspecified,Unisoc T620 (12 nm),"Ring-LED flash, panorama, HDR","Fingerprint (under display, optical), unspecified sensors",GSM / HSPA / LTE,"Bromo Black, Mambo Mint, Sahara Gleam",185 g (6.53 oz),"Available. Released 2024, November",,"32 MP, f/2.2, 22mm (wide)",Yes,,"18W wired, bypass charging",,,,,,Yes,1080 x 2436 pixels (~393 ppi density),itel S25,itel
,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),8 MP,128GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-30.jpg,Nano-SIM,Yes,,8.0 mm thickness,,,,No,,Android 13,LTE,USB Type-C,,1080p@30fps,,"11.0 inches, 350.9 cm2","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,Unspecified,"2024, September","IPS LCD, 450 nits",Yes,7000 mAh,,,,Yes,Unspecified,Unisoc T606 (12 nm),LED flash,Accelerometer,GSM / HSPA / LTE,"Light Blue, Deep Grey",550 g (1.21 lb),"Available. Released 2024, September",,5 MP,"Yes, with dual speakers",,10W wired,,,Mali-G57 MP1,,,Unspecified,"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",itel VistaTab 30,itel
,Octa-core,50 MPAuxiliary lens,"128GB 3GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-a80.jpg,Dual SIM,Yes,,8.5 mm thickness,,,,No,,"Android 14, itel OS 14",LTE,USB Type-C 2.0,,1080p@30fps,,"6.7 inches, 108.4 cm2","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, September","IPS LCD, 120Hz, 500 nits (peak)",Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T603,"Dual-LED flash, HDR",Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Sandstone Black, Glacier White, Wave Blue",-,"Available. Released 2024, September",,8 MP,Yes,,10W wired,,,,,,Yes,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",itel A80,itel
,Octa-core,"8 MP, AF",32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-a50c.jpg,Dual SIM,Yes,,163.9 x 75.7 x 9.4 mm (6.45 x 2.98 x 0.37 in),,,,No,,Android 14 (Go edition),LTE,USB Type-C,,Yes,,"6.56 inches, 103.4 cm2(~83.4% screen-to-body ratio)",HSPA,microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, August 12",IPS LCD,Yes,4000 mAh,,,,Yes,Unspecified,Unisoc T603,LED flash,Fingerprint (rear-mounted); unspecified sensors,GSM / HSPA / LTE,"Dawn Blue, Sapphire Black, Misty Aqua",192.6 g (6.81 oz),"Available. Released 2024, August 12",,5 MP,Yes,,,,,,,,Yes,"540 x 1208 pixels, 20:9 ratio (~202 ppi density)",itel A50C,itel
LED notification ring on the back,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),50 MPAuxiliary lens,"128GB 4GB RAM, 128GB 8GB RAM, 256GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-p65.jpg,Nano-SIM + Nano-SIM,Yes,About 110 EUR,165.9 x 77.3 x 7.9 mm (6.53 x 3.04 x 0.31 in),,,,Yes (256/6GB model only),,"Android 14, itel OS 14",LTE,"USB Type-C, OTG",,Yes,,"6.7 inches, 108.4 cm2(~84.5% screen-to-body ratio)","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, August 08","IPS LCD, 120Hz",Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T615 (12 nm),"LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Cyber Blaze, Cyber Black, Cyber Titanium",192.4 g (6.81 oz),"Available. Released 2024, August 08",,8 MP,Yes,,"18W wired, 40% in 30 min",,,Mali-G57 MP1,,,Yes,"720 x 1600 pixels, 20:9 ratio (~262 ppi density)",itel P65,itel
,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"50 MP, (wide), AFAuxiliary lens",128GB 6GB RAM,https://fdn2.gsmarena.com/vv/bigpic/itel-color-pro-5g.jpg,Nano-SIM + Nano-SIM,Yes,About 100 EUR,8.4 mm thickness,,,,No,,"Android 13, itel OS 13","1, 3, 5, 8, 38, 40, 41",USB Type-C,,1080p@30fps,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","6.56 inches, 103.4 cm2","HSPA, LTE, 5G",Unspecified,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, July 17","IPS LCD, 90Hz",Yes,Li-Po 5000 mAh,,,,"5.0, A2DP, LE",Unspecified,Mediatek Dimensity 6080 (6 nm),"LED flash, panorama","Fingerprint (side-mounted), accelerometer",GSM / HSPA / LTE / 5G,"River Blue, Lavender Fantasy",-,"Available. Released 2024, July",,8 MP,Yes,,18W wired,,,Mali-G57 MC2,,,Yes,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",itel Color Pro,itel
,Octa-core,8 MPauxiliary lens,"64GB 2GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-a50.jpg,Dual SIM,Yes,"₹ 5,999",163.9 x 75.7 x 8.7 mm (6.45 x 2.98 x 0.34 in),,,,No,,Android 14 (Go edition),LTE,USB Type-C 2.0,,Yes,,"6.6 inches, 104.6 cm2(~84.3% screen-to-body ratio)","HSPA, LTE",microSDXC,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,"₹ 5,999",GPS,"2024, May","IPS LCD, 480 nits (peak)",Yes,5000 mAh,,,,Yes,Unspecified,Unisoc T603,LED flash,Fingerprint (side-mounted); unspecified sensors,GSM / HSPA / LTE,"Shimmer Gold, Суаn Blue, Lime Green, Misty Black",-,"Available. Released 2024, May",,5 MP,Yes,,10W wired,,,,,,Yes,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",itel A50,itel
,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"50 MP, f/1.6, (wide), AF","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",https://fdn2.gsmarena.com/vv/bigpic/itel-rs4.jpg,Nano-SIM + Nano-SIM,Yes,About 100 EUR,8.2 mm thickness,,,,Yes,,Android 13,LTE,USB Type-C,,1080p@30fps,,"6.56 inches, 103.4 cm2","HSPA, LTE",Unspecified,HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2024, April 06","IPS LCD, 120Hz",Yes,5000 mAh,,,,Yes,Unspecified,Mediatek Helio G99 Ultimate,LED flash,"Fingerprint (side-mounted), accelerometer, gyro",GSM / HSPA / LTE,"Silvery White, Elegant Beige, Lurex Black",198 g (6.98 oz),"Available. Released 2024, April",,8 MP,"Yes, with stereo speakers",,"45W wired, bypass charging, 80% in 30 min",,,Mali-G57 MC2,,,Yes,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",itel RS4,itel
