,Dimensions,Phonebook,_4,Model Image,Type_1,_1,Model Name,Models,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,SAR EU,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Features_1,Price,Single_1,Type,Games,Chipset,Talk time,WLAN,Call records,3G bands,Size,Single,Protection,Dual,Bluetooth,Radio,USB,Status,Internal,Dual_1,OS,Colors,Browser,GPRS,Weight,Resolution
,157 x 74.2 x 9.8 mm (6.18 x 2.92 x 0.39 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5702.jpg,"Li-Po 3200 mAh, non-removable",,verykool s5702 Royale Quattro,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 300 h (3G),0.22 W/kg (head)     0.41 W/kg (body),"Fingerprint (rear-mounted), accelerometer, proximity",,,,Mali-400MP2,"2018, February",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Dual SIM (Micro-SIM),,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,,"Dual-LED flash, panorama",,LED flash,,,IPS LCD,,Mediatek MT6580 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"5.7 inches, 83.8 cm2(~72.0% screen-to-body ratio)",,Scratch-resistant glass,"13 MP, AF2 MP, (depth)","4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,"Available. Released 2018, February",16GB 2GB RAM,"5 MP2 MP, depth sensor",Android 7.0 (Nougat),"Black, Blue, Gold",,,196 g (6.91 oz),"720 x 1440 pixels, 18:9 ratio (~282 ppi density)"
,144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5037.jpg,"Li-Po 2000 mAh, non-removable",,verykool s5037 Apollo Quattro,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.25 W/kg (head)     0.56 W/kg (body),"Fingerprint (rear-mounted), accelerometer",,,,Mali-400MP2,"2018, February",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,,"Dual-LED flash, panorama",,LED flash,,,IPS LCD,,Mediatek MT6580 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",,Scratch-resistant glass,"13 MP, AF2 MP, (depth)","4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,"Available. Released 2018, February",8GB 1GB RAM,"5 MP2 MP, depth sensor",Android 7.0 (Nougat),"Black, Blue, Gold",,,163 g (5.75 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5036.jpg,"Li-Po 2000 mAh, removable",,verykool s5036 Apollo,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.25 W/kg (head)     0.56 W/kg (body),"Fingerprint (rear-mounted), accelerometer",,,,Mali-400MP2,"2018, February",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,,"Dual-LED flash, panorama",,LED flash,,,IPS LCD,,Mediatek MT6580M (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",5 MP,Scratch-resistant glass,"8 MP, AF2 MP, (depth)","4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,"Available. Released 2018, February",8GB 1GB RAM,,Android 7.0 (Nougat),"Black, Blue, Gold",,,163 g (5.75 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5204-.jpg,"Li-Ion 2000 mAh, removable",,verykool s5200 Orion,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 216 h (3G),,"Fingerprint (rear-mounted), accelerometer",,,,Mali-400MP2,"2017, December",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,No,,,"LED flash, panorama",,LED flash,,5 MP,IPS LCD,,Mediatek MT6580 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"5.2 inches, 74.5 cm2(~67.5% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,"Available. Released 2017, December",16GB 1GB RAM,,Android 7.0 (Nougat),"Black, Gold, Blue",,,164 g (5.78 oz),"480 x 854 pixels, 16:9 ratio (~188 ppi density)"
,145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5031.jpg,Li-Ion 2000 mAh battery,,verykool s5031 Bolt Turbo,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Fingerprint (rear-mounted), accelerometer, proximity",,,,Mali-400MP2,"2017, November. Released 2017, November",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,LED flash,,8 MP,IPS LCD,,Mediatek MT6580 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900 / 2100,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 2GB RAM,,Android 7.0 (Nougat),"Gold, Blue",,,145 g (5.11 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
eMMC 5.0,144.8 x 72 x 9.6 mm (5.70 x 2.83 x 0.38 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5029.jpg,Li-Ion 2000 mAh battery,,verykool sl5029 Bolt Pro LTE,,,microSDXC,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 240 h (3G),,"Fingerprint (rear-mounted), accelerometer",,,,Mali-T720,"2017, November. Released 2017, November",Quad-core 1.25 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,"2, 4, 5, 7","LED flash, panorama",,LED flash,,5 MP,TFT,,Mediatek MT6737 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"5.0 inches, 68.9 cm2(~66.1% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 7.0 (Nougat),"Black, Gold, Silver",,,142 g (5.01 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5029.jpg,Li-Ion 2000 mAh battery,,verykool s5029 Bolt Pro,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Fingerprint (rear-mounted), accelerometer, proximity",,,,Mali-400MP2,"2017, November. Released 2017, November",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,LED flash,,5 MP,TFT,,Mediatek MT6580 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1900 / 2100,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",8 MP,Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 7.0 (Nougat),"Black, Gold, Blue",,,145 g (5.11 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5205.jpg,Li-Ion 2000 mAh battery,,verykool s5205 Orion Pro,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 216 h (3G),,"Fingerprint (rear-mounted), accelerometer",,,,Mali-400MP2,"2017, November. Released 2017, November",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,LED flash,,8 MP,IPS LCD,,Mediatek MT6580 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 1900 / 2100,"5.2 inches, 74.5 cm2(~67.5% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 7.0 (Nougat),"Black, Gold, Blue",,,164 g (5.78 oz),"480 x 854 pixels, 16:9 ratio (~188 ppi density)"
,166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s6005x.jpg,Li-Ion 3000 mAh battery,,verykool s6005X Cyprus Pro,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 264 h (3G),,"Accelerometer, proximity",,,,Mali-400MP2,"2017, November. Released 2017, November",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900,"6.0 inches, 99.2 cm2(~70.1% screen-to-body ratio)","13 MP, f/2.2, AF",Asahi Dragontrail Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 7.0 (Nougat),"Gray, Gold",,,165 g (5.82 oz),"720 x 1280 pixels, 16:9 ratio (~245 ppi density)"
,152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5527.jpg,"Li-Po 2800 mAh, removable",,verykool s5527 Alpha Pro,,,microSDXC,verykool,HSPA 21.1/5.76 Mbps,,Up to 288 h (3G),0.49 W/kg (head)     1.27 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2017, August. Released 2017, August",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,"8 MP, f/2.8",IPS LCD,,Mediatek MT6580 (28 nm),Up to 9 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 1700(AWS) / 1900 / 900,"5.5 inches, 83.4 cm2(~71.0% screen-to-body ratio)","13 MP, f/2.2, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,16GB 1GB RAM,,Android 6.0 (Marshmallow),Black,,,148 g (5.22 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
